"ftest","pvalue","gene","model"
"Th1vsMixed",0.0718059218385976,"0610007C21Rik","Th1/2"
"Th2vsMixed",0.165459595727455,"0610007C21Rik","Th1/2"
"Th1vsMixed",0.0333436314818169,"0610007C21Rik.1","Th1/2"
"Th2vsMixed",0.0785423452057697,"0610007C21Rik.1","Th1/2"
"Th1vsMixed",0.194452204283353,"0610007C21Rik.2","Th1/2"
"Th2vsMixed",0.00152227081093484,"0610007C21Rik.2","Th1/2"
"Th1vsMixed",0.0857446889554449,"0610007P14Rik","Th1/2"
"Th2vsMixed",0.33098459251295,"0610007P14Rik","Th1/2"
"Th1vsMixed",0.260567921242566,"0610007P14Rik.1","Th1/2"
"Th2vsMixed",0.914036331232481,"0610007P14Rik.1","Th1/2"
"Th1vsMixed",0.00665390044988394,"0610007P14Rik.2","Th1/2"
"Th2vsMixed",0.0803431833673845,"0610007P14Rik.2","Th1/2"
"Th1vsMixed",0.0496989133710414,"0610009B22Rik","Th1/2"
"Th2vsMixed",0.945239026451924,"0610009B22Rik","Th1/2"
"Th1vsMixed",0.00487033422070054,"0610011F06Rik","Th1/2"
"Th2vsMixed",0.830180618958953,"0610011F06Rik","Th1/2"
"Th1vsMixed",0.159581400637733,"0610031J06Rik.1","Th1/2"
"Th2vsMixed",0.44851843942134,"0610031J06Rik.1","Th1/2"
"Th1vsMixed",0.0252976491218147,"0610037D15Rik","Th1/2"
"Th2vsMixed",0.52567119003057,"0610037D15Rik","Th1/2"
"Th1vsMixed",0.0914855283816336,"1110001A07Rik","Th1/2"
"Th2vsMixed",0.432573367888351,"1110001A07Rik","Th1/2"
"Th1vsMixed",4.7323520509242e-05,"1110003E01Rik","Th1/2"
"Th2vsMixed",0.222306197601653,"1110003E01Rik","Th1/2"
"Th1vsMixed",0.561059591148692,"1110005A23Rik","Th1/2"
"Th2vsMixed",0.0928323652608705,"1110005A23Rik","Th1/2"
"Th1vsMixed",0.0203346003364717,"1110007A13Rik.1","Th1/2"
"Th2vsMixed",0.501625707867897,"1110007A13Rik.1","Th1/2"
"Th1vsMixed",0.186679997988644,"1110007L15Rik","Th1/2"
"Th2vsMixed",0.285897691020749,"1110007L15Rik","Th1/2"
"Th1vsMixed",0.00316859909664867,"1110007L15Rik.1","Th1/2"
"Th2vsMixed",0.794927839188781,"1110007L15Rik.1","Th1/2"
"Th1vsMixed",0.451823005513697,"1110007L15Rik.3","Th1/2"
"Th2vsMixed",0.985218841495795,"1110007L15Rik.3","Th1/2"
"Th1vsMixed",0.0363227428235757,"1110007M04Rik","Th1/2"
"Th2vsMixed",0.00187135327943118,"1110007M04Rik","Th1/2"
"Th1vsMixed",0.305399718452919,"1110012M11Rik","Th1/2"
"Th2vsMixed",0.00357147115411534,"1110012M11Rik","Th1/2"
"Th1vsMixed",0.102354884058341,"1110013L07Rik.1","Th1/2"
"Th2vsMixed",0.00372208523521742,"1110013L07Rik.1","Th1/2"
"Th1vsMixed",2.95469872522807e-05,"1110018J18Rik","Th1/2"
"Th2vsMixed",0.00111284116782267,"1110018J18Rik","Th1/2"
"Th1vsMixed",0.00229977641079339,"1110018J18Rik.1","Th1/2"
"Th2vsMixed",0.069249502597499,"1110018J18Rik.1","Th1/2"
"Th1vsMixed",0.0136222037103117,"1110038D17Rik","Th1/2"
"Th2vsMixed",0.143054698422799,"1110038D17Rik","Th1/2"
